epidemic_size,tree_id_A,off_R_A,off_k_A,tree_id_B,off_R_B,off_k_B,sample_size,p_value
20,17_69,2,0.1,17_69,2,0.1,50,0.5525525525525525
20,17_69,2,0.1,17_69,2,0.1,100,0.8378378378378378
20,17_69,2,0.1,17_69,2,0.3,50,0.24924924924924924
20,17_69,2,0.1,17_69,2,0.3,100,0.8518518518518519
20,17_69,2,0.1,17_69,3,0.1,50,0.5735735735735735
20,17_69,2,0.1,17_69,3,0.1,100,0.22322322322322322
20,17_69,2,0.3,17_69,2,0.3,50,0.23023023023023023
20,17_69,2,0.3,17_69,2,0.3,100,0.7587587587587588
20,17_69,2,0.3,17_69,3,0.1,50,0.933933933933934
20,17_69,2,0.3,17_69,3,0.1,100,0.6096096096096096
20,17_69,3,0.1,17_69,3,0.1,50,0.6186186186186187
20,17_69,3,0.1,17_69,3,0.1,100,0.8738738738738738
50,50_28,2,0.1,50_28,2,0.1,50,0.2912912912912913
50,50_28,2,0.1,50_28,2,0.1,100,0.17217217217217218
50,50_28,2,0.1,50_28,2,0.3,50,0.5675675675675675
50,50_28,2,0.1,50_28,2,0.3,100,0.12512512512512514
50,50_28,2,0.1,50_28,3,0.1,50,0.12212212212212212
50,50_28,2,0.1,50_28,3,0.1,100,0.35835835835835833
50,50_28,2,0.3,50_28,2,0.3,50,0.5615615615615616
50,50_28,2,0.3,50_28,2,0.3,100,0.6396396396396397
50,50_28,2,0.3,50_28,3,0.1,50,0.22922922922922923
50,50_28,2,0.3,50_28,3,0.1,100,0.5445445445445446
50,50_28,3,0.1,50_28,3,0.1,50,0.6406406406406406
50,50_28,3,0.1,50_28,3,0.1,100,0.35035035035035034
100,3_40,2,0.1,3_40,2,0.1,50,0.5835835835835835
100,3_40,2,0.1,3_40,2,0.1,100,0.6826826826826827
100,3_40,2,0.1,3_40,2,0.3,50,0.5915915915915916
100,3_40,2,0.1,3_40,2,0.3,100,0.7437437437437437
100,3_40,2,0.1,3_40,3,0.1,50,0.7597597597597597
100,3_40,2,0.1,3_40,3,0.1,100,0.96996996996997
100,3_40,2,0.3,3_40,2,0.3,50,0.8348348348348348
100,3_40,2,0.3,3_40,2,0.3,100,0.17917917917917917
100,3_40,2,0.3,3_40,3,0.1,50,0.7177177177177178
100,3_40,2,0.3,3_40,3,0.1,100,0.5175175175175175
100,3_40,3,0.1,3_40,3,0.1,50,0.04704704704704705
100,3_40,3,0.1,3_40,3,0.1,100,0.4624624624624625
200,40_90,2,0.1,40_90,2,0.1,50,0.21121121121121122
200,40_90,2,0.1,40_90,2,0.1,100,0.4574574574574575
200,40_90,2,0.1,40_90,2,0.3,50,0.8858858858858859
200,40_90,2,0.1,40_90,2,0.3,100,0.4064064064064064
200,40_90,2,0.1,40_90,3,0.1,50,0.4794794794794795
200,40_90,2,0.1,40_90,3,0.1,100,0.8298298298298298
200,40_90,2,0.3,40_90,2,0.3,50,0.06906906906906907
200,40_90,2,0.3,40_90,2,0.3,100,0.7097097097097097
200,40_90,2,0.3,40_90,3,0.1,50,0.35235235235235235
200,40_90,2,0.3,40_90,3,0.1,100,0.9059059059059059
200,40_90,3,0.1,40_90,3,0.1,50,0.985985985985986
200,40_90,3,0.1,40_90,3,0.1,100,0.35135135135135137
