"epidemic_size","tree_id_A","param_id_A","off_R_A","off_k_A","id_A","tree_id_B","param_id_B","off_R_B","off_k_B","id_B","sample_size","p_value"
20,"45_12","21",2,0.1,1,"45_12","21",2,0.1,1,50,0.442
20,"45_12","21",2,0.1,1,"45_12","21",2,0.1,1,100,1
20,"45_12","21",2,0.1,1,"45_12","25",2,0.3,2,50,0.001
20,"45_12","21",2,0.1,1,"45_12","25",2,0.3,2,100,0.001
20,"45_12","21",2,0.1,1,"45_12","41",3,0.1,3,50,0.386
20,"45_12","21",2,0.1,1,"45_12","41",3,0.1,3,100,0.589
20,"45_12","25",2,0.3,2,"45_12","25",2,0.3,2,50,0.98
20,"45_12","25",2,0.3,2,"45_12","25",2,0.3,2,100,0.994
20,"45_12","25",2,0.3,2,"45_12","41",3,0.1,3,50,0.001
20,"45_12","25",2,0.3,2,"45_12","41",3,0.1,3,100,0.001
20,"45_12","41",3,0.1,3,"45_12","41",3,0.1,3,50,0.881
20,"45_12","41",3,0.1,3,"45_12","41",3,0.1,3,100,1
50,"42_74","22",2,0.1,4,"42_74","22",2,0.1,4,50,1
50,"42_74","22",2,0.1,4,"42_74","22",2,0.1,4,100,1
50,"42_74","22",2,0.1,4,"42_74","26",2,0.3,5,50,0.001
50,"42_74","22",2,0.1,4,"42_74","26",2,0.3,5,100,0.001
50,"42_74","22",2,0.1,4,"42_74","42",3,0.1,6,50,0.567
50,"42_74","22",2,0.1,4,"42_74","42",3,0.1,6,100,0.758
50,"42_74","26",2,0.3,5,"42_74","26",2,0.3,5,50,0.987
50,"42_74","26",2,0.3,5,"42_74","26",2,0.3,5,100,1
50,"42_74","26",2,0.3,5,"42_74","42",3,0.1,6,50,0.001
50,"42_74","26",2,0.3,5,"42_74","42",3,0.1,6,100,0.001
50,"42_74","42",3,0.1,6,"42_74","42",3,0.1,6,50,0.977
50,"42_74","42",3,0.1,6,"42_74","42",3,0.1,6,100,1
100,"35_77","23",2,0.1,7,"35_77","23",2,0.1,7,50,0.964
100,"35_77","23",2,0.1,7,"35_77","23",2,0.1,7,100,1
100,"35_77","23",2,0.1,7,"35_77","27",2,0.3,8,50,0.001
100,"35_77","23",2,0.1,7,"35_77","27",2,0.3,8,100,0.001
100,"35_77","23",2,0.1,7,"35_77","43",3,0.1,9,50,0.905
100,"35_77","23",2,0.1,7,"35_77","43",3,0.1,9,100,0.69
100,"35_77","27",2,0.3,8,"35_77","27",2,0.3,8,50,0.98
100,"35_77","27",2,0.3,8,"35_77","27",2,0.3,8,100,0.998
100,"35_77","27",2,0.3,8,"35_77","43",3,0.1,9,50,0.001
100,"35_77","27",2,0.3,8,"35_77","43",3,0.1,9,100,0.001
100,"35_77","43",3,0.1,9,"35_77","43",3,0.1,9,50,1
100,"35_77","43",3,0.1,9,"35_77","43",3,0.1,9,100,1
200,"56_78","24",2,0.1,10,"56_78","24",2,0.1,10,50,0.996
200,"56_78","24",2,0.1,10,"56_78","24",2,0.1,10,100,1
200,"56_78","24",2,0.1,10,"56_78","28",2,0.3,11,50,0.001
200,"56_78","24",2,0.1,10,"56_78","28",2,0.3,11,100,0.001
200,"56_78","24",2,0.1,10,"56_78","44",3,0.1,12,50,0.09
200,"56_78","24",2,0.1,10,"56_78","44",3,0.1,12,100,0.528
200,"56_78","28",2,0.3,11,"56_78","28",2,0.3,11,50,1
200,"56_78","28",2,0.3,11,"56_78","28",2,0.3,11,100,1
200,"56_78","28",2,0.3,11,"56_78","44",3,0.1,12,50,0.001
200,"56_78","28",2,0.3,11,"56_78","44",3,0.1,12,100,0.001
200,"56_78","44",3,0.1,12,"56_78","44",3,0.1,12,50,1
200,"56_78","44",3,0.1,12,"56_78","44",3,0.1,12,100,1
